Date,Away Team,Away Score,Home Team,Home Score
2017-4-2,San Francisco Giants,5,Arizona D'Backs,6
2017-4-2,Chicago Cubs,3,St. Louis Cardinals,4
2017-4-2,New York Yankees,3,Tampa Bay Rays,7
2017-4-3,Toronto Blue Jays,2,Baltimore Orioles,3
2017-4-3,Pittsburgh Pirates,3,Boston Red Sox,5
2017-4-3,Philadelphia Phillies,4,Cincinnati Reds,3
2017-4-3,Seattle Mariners,0,Houston Astros,3
2017-4-3,Colorado Rockies,7,Milwaukee Brewers,5
2017-4-3,Kansas City Royals,1,Minnesota Twins,7
2017-4-3,Atlanta Braves,0,New York Mets,6
2017-4-3,Los Angeles Angels,2,Oakland Athletics,4
2017-4-3,Cleveland Indians,8,Texas Rangers,5
2017-4-3,Miami Marlins,2,Washington Nationals,4
2017-4-4,San Francisco Giants,8,Arizona D'Backs,4
2017-4-4,Detroit Tigers,6,Chicago White Sox,3
2017-4-4,Seattle Mariners,1,Houston Astros,2
2017-4-4,San Diego Padres,4,Los Angeles Dodgers,0
2017-4-4,Colorado Rockies,6,Milwaukee Brewers,5
2017-4-4,Los Angeles Angels,7,Oakland Athletics,6
2017-4-4,Chicago Cubs,2,St. Louis Cardinals,1
2017-4-4,New York Yankees,5,Tampa Bay Rays,0
2017-4-4,Cleveland Indians,4,Texas Rangers,3
2017-4-5,San Francisco Giants,6,Arizona D'Backs,8
2017-4-5,Toronto Blue Jays,1,Baltimore Orioles,3
2017-4-5,Pittsburgh Pirates,0,Boston Red Sox,3
2017-4-5,Philadelphia Phillies,0,Cincinnati Reds,2
2017-4-5,Seattle Mariners,3,Houston Astros,5
2017-4-5,San Diego Padres,1,Los Angeles Dodgers,3
2017-4-5,Colorado Rockies,1,Milwaukee Brewers,6
2017-4-5,Kansas City Royals,1,Minnesota Twins,9
2017-4-5,Atlanta Braves,3,New York Mets,1
2017-4-5,Los Angeles Angels,5,Oakland Athletics,0
2017-4-5,New York Yankees,1,Tampa Bay Rays,4
2017-4-5,Cleveland Indians,9,Texas Rangers,6
2017-4-5,Miami Marlins,4,Washington Nationals,6
2017-4-6,San Francisco Giants,3,Arizona D'Backs,9
2017-4-6,Philadelphia Phillies,4,Cincinnati Reds,7
2017-4-6,Seattle Mariners,4,Houston Astros,2
2017-4-6,Colorado Rockies,2,Milwaukee Brewers,1
2017-4-6,Kansas City Royals,3,Minnesota Twins,5
2017-4-6,Atlanta Braves,2,New York Mets,6
2017-4-6,Los Angeles Angels,1,Oakland Athletics,5
2017-4-6,Chicago Cubs,6,St. Louis Cardinals,4
2017-4-6,Toronto Blue Jays,5,Tampa Bay Rays,2
2017-4-6,Miami Marlins,4,Washington Nationals,3
2017-4-7,Seattle Mariners,1,Los Angeles Angels,5
2017-4-7,Cleveland Indians,3,Arizona D'Backs,7
2017-4-7,New York Yankees,5,Baltimore Orioles,6
2017-4-7,Minnesota Twins,3,Chicago White Sox,1
2017-4-7,Los Angeles Dodgers,1,Colorado Rockies,2
2017-4-7,Boston Red Sox,5,Detroit Tigers,6
2017-4-7,Kansas City Royals,5,Houston Astros,1
